condition,language_code,split,examples,encoded_token_count,analysis_token_count
overall,pol_Latn,BelebeleRetrieval|test|query,107,2079,2079
overall,pol_Latn,MassiveIntentClassification|test|text,568,5093,5093
overall,pol_Latn,MassiveIntentClassification|validation|text,474,4422,4422
overall,pol_Latn,SIB200ClusteringS2S|test|text,53,1948,1948
overall,pol_Latn,SIB200ClusteringS2S|train|text,178,6261,6261
overall,pol_Latn,SIB200ClusteringS2S|validation|text,24,818,818
overall,pol_Latn,STS22.v2|test|sentence1,3,2044,2044
overall,hun_Latn,BelebeleRetrieval|test|corpus,61,7868,7868
overall,hun_Latn,BelebeleRetrieval|test|query,107,2015,2015
overall,hun_Latn,MassiveIntentClassification|test|text,515,5100,5100
overall,hun_Latn,MassiveIntentClassification|validation|text,510,5220,5220
overall,hun_Latn,SIB200ClusteringS2S|test|text,50,1728,1728
overall,hun_Latn,SIB200ClusteringS2S|train|text,200,7186,7186
overall,hun_Latn,SIB200ClusteringS2S|validation|text,26,883,883
overall,tur_Latn,BelebeleRetrieval|test|corpus,59,6832,6832
overall,tur_Latn,BelebeleRetrieval|test|query,134,2061,2061
overall,tur_Latn,MassiveIntentClassification|test|text,676,5668,5668
overall,tur_Latn,MassiveIntentClassification|validation|text,467,3727,3727
overall,tur_Latn,SIB200ClusteringS2S|test|text,65,2084,2084
overall,tur_Latn,SIB200ClusteringS2S|train|text,205,6517,6517
overall,tur_Latn,SIB200ClusteringS2S|validation|text,37,1146,1146
overall,tur_Latn,STS22.v2|test|sentence1,4,1965,1965
overall,vie_Latn,BelebeleRetrieval|test|corpus,51,7446,7446
overall,vie_Latn,BelebeleRetrieval|test|query,96,1918,1918
overall,vie_Latn,MassiveIntentClassification|test|text,463,4673,4673
overall,vie_Latn,MassiveIntentClassification|validation|text,506,5213,5213
overall,vie_Latn,SIB200ClusteringS2S|test|text,63,2088,2088
overall,vie_Latn,SIB200ClusteringS2S|train|text,217,7782,7782
overall,vie_Latn,SIB200ClusteringS2S|validation|text,26,880,880
overall,arb_Arab,BelebeleRetrieval|test|corpus,56,7574,7574
overall,arb_Arab,BelebeleRetrieval|test|query,121,2246,2246
overall,arb_Arab,MassiveIntentClassification|test|text,665,5759,5759
overall,arb_Arab,MassiveIntentClassification|validation|text,499,4332,4332
overall,arb_Arab,SIB200ClusteringS2S|test|text,52,1678,1678
overall,arb_Arab,SIB200ClusteringS2S|train|text,198,7009,7009
overall,arb_Arab,SIB200ClusteringS2S|validation|text,25,845,845
overall,arb_Arab,STS22.v2|test|sentence1,4,479,479
overall,arb_Arab,STS22.v2|test|sentence2,1,78,78
overall,hin_Deva,BelebeleRetrieval|test|corpus,39,5149,5149
overall,hin_Deva,BelebeleRetrieval|test|query,64,1194,1194
overall,hin_Deva,MassiveIntentClassification|test|text,379,3682,3682
overall,hin_Deva,MassiveIntentClassification|validation|text,387,3705,3705
overall,hin_Deva,SIB200ClusteringS2S|test|text,24,842,842
overall,hin_Deva,SIB200ClusteringS2S|train|text,153,5838,5838
overall,hin_Deva,SIB200ClusteringS2S|validation|text,23,874,874
overall,hin_Deva,SemRel24STS|test|sentence1,18,416,416
overall,hin_Deva,SemRel24STS|test|sentence2,17,362,362
overall,hin_Deva,WikipediaRerankingMultilingual|test|corpus:text,27,3986,3986
overall,hin_Deva,WikipediaRerankingMultilingual|test|queries:text,254,3952,3952
overall,guj_Gujr,BelebeleRetrieval|test|corpus,55,8552,8552
overall,guj_Gujr,BelebeleRetrieval|test|query,87,1895,1895
overall,guj_Gujr,GujaratiNewsClassification|test|text,434,9543,9543
overall,guj_Gujr,IndicCrosslingualSTS|test|sentence2,67,1149,1149
overall,guj_Gujr,SIB200ClusteringS2S|test|text,27,1103,1103
overall,guj_Gujr,SIB200ClusteringS2S|train|text,170,7021,7021
overall,guj_Gujr,SIB200ClusteringS2S|validation|text,17,735,735
overall,rus_Cyrl,BelebeleRetrieval|test|corpus,52,6893,6893
overall,rus_Cyrl,BelebeleRetrieval|test|query,78,1648,1648
overall,rus_Cyrl,MassiveIntentClassification|test|text,532,4552,4552
overall,rus_Cyrl,MassiveIntentClassification|validation|text,380,3342,3342
overall,rus_Cyrl,RuBQReranking|test|corpus:text,13,1797,1797
overall,rus_Cyrl,RuBQReranking|test|queries:text,295,3459,3459
overall,rus_Cyrl,SIB200ClusteringS2S|test|text,34,1268,1268
overall,rus_Cyrl,SIB200ClusteringS2S|train|text,150,5370,5370
overall,rus_Cyrl,SIB200ClusteringS2S|validation|text,23,813,813
overall,rus_Cyrl,STS22.v2|test|sentence1,1,308,308
overall,rus_Cyrl,STS22.v2|test|sentence2,2,550,550
overall,tha_Thai,BelebeleRetrieval|test|corpus,69,8521,8521
overall,tha_Thai,BelebeleRetrieval|test|query,137,1996,1996
overall,tha_Thai,MassiveIntentClassification|test|text,576,5366,5366
overall,tha_Thai,MassiveIntentClassification|validation|text,473,4289,4289
overall,tha_Thai,SIB200ClusteringS2S|test|text,53,1786,1786
overall,tha_Thai,SIB200ClusteringS2S|train|text,217,7200,7200
overall,tha_Thai,SIB200ClusteringS2S|validation|text,30,842,842
overall,zho_Hans,BelebeleRetrieval|test|corpus,56,5663,5662
overall,zho_Hans,BelebeleRetrieval|test|query,101,1378,1378
overall,zho_Hans,MassiveIntentClassification|test|text,525,4083,4082
overall,zho_Hans,MassiveIntentClassification|validation|text,373,2852,2852
overall,zho_Hans,SIB200ClusteringS2S|test|text,57,1684,1684
overall,zho_Hans,SIB200ClusteringS2S|train|text,161,4825,4822
overall,zho_Hans,SIB200ClusteringS2S|validation|text,26,745,745
overall,zho_Hans,STS22.v2|test|sentence1,2,1546,1546
overall,zho_Hans,STS22.v2|test|sentence2,2,347,347
overall,zho_Hans,T2Reranking|dev|queries:text,802,6891,6882
overall,jpn_Jpan,BelebeleRetrieval|test|corpus,50,5866,5866
overall,jpn_Jpan,BelebeleRetrieval|test|query,91,1664,1664
overall,jpn_Jpan,JSICK|test|sentence1,45,599,599
overall,jpn_Jpan,JSICK|test|sentence2,38,549,549
overall,jpn_Jpan,MassiveIntentClassification|test|text,425,3822,3822
overall,jpn_Jpan,MassiveIntentClassification|validation|text,347,3198,3198
overall,jpn_Jpan,SIB200ClusteringS2S|test|text,47,1670,1670
overall,jpn_Jpan,SIB200ClusteringS2S|train|text,151,4934,4934
overall,jpn_Jpan,SIB200ClusteringS2S|validation|text,20,569,569
overall,jpn_Jpan,VoyageMMarcoReranking|test|corpus:text,34,3359,3355
overall,jpn_Jpan,VoyageMMarcoReranking|test|queries:text,379,3775,3774
overall,kor_Hang,BelebeleRetrieval|test|corpus,58,7403,7403
overall,kor_Hang,BelebeleRetrieval|test|query,110,1938,1938
overall,kor_Hang,MassiveIntentClassification|test|text,641,5494,5493
overall,kor_Hang,MassiveIntentClassification|validation|text,492,4272,4272
overall,kor_Hang,SIB200ClusteringS2S|test|text,56,1854,1854
overall,kor_Hang,SIB200ClusteringS2S|train|text,188,6516,6514
overall,kor_Hang,SIB200ClusteringS2S|validation|text,31,992,991
overall,kor_Hang,STS17|test|sentence1,45,743,743
overall,kor_Hang,STS17|test|sentence2,41,792,792
