condition,family,language_code,task,subset,split,role,examples,analysis_tokens
clustering,clustering,guj_Gujr,SIB200ClusteringS2S,guj_Gujr,train,text,353,14990
clustering,clustering,guj_Gujr,SIB200ClusteringS2S,guj_Gujr,validation,text,54,2215
clustering,clustering,hin_Deva,SIB200ClusteringS2S,hin_Deva,test,text,90,3397
clustering,clustering,hin_Deva,SIB200ClusteringS2S,hin_Deva,train,text,379,14345
clustering,clustering,hin_Deva,SIB200ClusteringS2S,hin_Deva,validation,text,62,2251
clustering,clustering,hun_Latn,SIB200ClusteringS2S,hun_Latn,test,text,119,4148
clustering,clustering,hun_Latn,SIB200ClusteringS2S,hun_Latn,train,text,401,14179
clustering,clustering,hun_Latn,SIB200ClusteringS2S,hun_Latn,validation,text,49,1673
clustering,clustering,ind_Latn,SIB200ClusteringS2S,ind_Latn,test,text,145,4007
clustering,clustering,ind_Latn,SIB200ClusteringS2S,ind_Latn,train,text,495,14123
clustering,clustering,ind_Latn,SIB200ClusteringS2S,ind_Latn,validation,text,70,1864
clustering,clustering,ita_Latn,SIB200ClusteringS2S,ita_Latn,test,text,119,4324
clustering,clustering,ita_Latn,SIB200ClusteringS2S,ita_Latn,train,text,373,13671
clustering,clustering,ita_Latn,SIB200ClusteringS2S,ita_Latn,validation,text,54,1997
clustering,clustering,jpn_Jpan,SIB200ClusteringS2S,jpn_Jpan,test,text,118,3862
clustering,clustering,jpn_Jpan,SIB200ClusteringS2S,jpn_Jpan,train,text,432,14344
clustering,clustering,jpn_Jpan,SIB200ClusteringS2S,jpn_Jpan,validation,text,56,1788
clustering,clustering,kor_Hang,SIB200ClusteringS2S,kor_Hang,test,text,110,3690
clustering,clustering,kor_Hang,SIB200ClusteringS2S,kor_Hang,train,text,410,14341
clustering,clustering,kor_Hang,SIB200ClusteringS2S,kor_Hang,validation,text,61,1962
clustering,clustering,nld_Latn,SIB200ClusteringS2S,nld_Latn,test,text,120,4181
clustering,clustering,nld_Latn,SIB200ClusteringS2S,nld_Latn,train,text,397,13859
clustering,clustering,nld_Latn,SIB200ClusteringS2S,nld_Latn,validation,text,60,1960
clustering,clustering,pol_Latn,SIB200ClusteringS2S,pol_Latn,test,text,121,4281
clustering,clustering,pol_Latn,SIB200ClusteringS2S,pol_Latn,train,text,387,13733
clustering,clustering,pol_Latn,SIB200ClusteringS2S,pol_Latn,validation,text,55,1977
clustering,clustering,por_Latn,SIB200ClusteringS2S,por_Latn,test,text,119,3963
clustering,clustering,por_Latn,SIB200ClusteringS2S,por_Latn,train,text,422,14161
clustering,clustering,por_Latn,SIB200ClusteringS2S,por_Latn,validation,text,60,1875
clustering,clustering,ron_Latn,SIB200ClusteringS2S,ron_Latn,test,text,110,4116
clustering,clustering,ron_Latn,SIB200ClusteringS2S,ron_Latn,train,text,375,14092
clustering,clustering,ron_Latn,SIB200ClusteringS2S,ron_Latn,validation,text,51,1792
clustering,clustering,rus_Cyrl,SIB200ClusteringS2S,rus_Cyrl,test,text,105,3820
clustering,clustering,rus_Cyrl,SIB200ClusteringS2S,rus_Cyrl,train,text,390,14194
clustering,clustering,rus_Cyrl,SIB200ClusteringS2S,rus_Cyrl,validation,text,57,1986
clustering,clustering,spa_Latn,SIB200ClusteringS2S,spa_Latn,test,text,116,4119
clustering,clustering,spa_Latn,SIB200ClusteringS2S,spa_Latn,train,text,403,14639
clustering,clustering,spa_Latn,SIB200ClusteringS2S,spa_Latn,validation,text,38,1242
clustering,clustering,swe_Latn,SIB200ClusteringS2S,swe_Latn,test,text,128,4049
clustering,clustering,swe_Latn,SIB200ClusteringS2S,swe_Latn,train,text,441,14082
clustering,clustering,swe_Latn,SIB200ClusteringS2S,swe_Latn,validation,text,63,1867
clustering,clustering,tgl_Latn,SIB200ClusteringS2S,tgl_Latn,test,text,64,2999
clustering,clustering,tgl_Latn,SIB200ClusteringS2S,tgl_Latn,train,text,344,14771
clustering,clustering,tgl_Latn,SIB200ClusteringS2S,tgl_Latn,validation,text,52,2221
clustering,clustering,tha_Thai,SIB200ClusteringS2S,tha_Thai,test,text,115,3754
clustering,clustering,tha_Thai,SIB200ClusteringS2S,tha_Thai,train,text,444,14469
clustering,clustering,tha_Thai,SIB200ClusteringS2S,tha_Thai,validation,text,59,1769
clustering,clustering,tur_Latn,SIB200ClusteringS2S,tur_Latn,test,text,122,3897
clustering,clustering,tur_Latn,SIB200ClusteringS2S,tur_Latn,train,text,455,14114
clustering,clustering,tur_Latn,SIB200ClusteringS2S,tur_Latn,validation,text,67,1983
clustering,clustering,vie_Latn,SIB200ClusteringS2S,vie_Latn,test,text,109,3744
clustering,clustering,vie_Latn,SIB200ClusteringS2S,vie_Latn,train,text,402,14455
clustering,clustering,vie_Latn,SIB200ClusteringS2S,vie_Latn,validation,text,55,1801
clustering,clustering,zho_Hans,SIB200ClusteringS2S,zho_Hans,test,text,142,4247
clustering,clustering,zho_Hans,SIB200ClusteringS2S,zho_Hans,train,text,465,13795
clustering,clustering,zho_Hans,SIB200ClusteringS2S,zho_Hans,validation,text,72,1958
clustering,clustering,zsm_Latn,SIB200ClusteringS2S,zsm_Latn,test,text,136,3779
clustering,clustering,zsm_Latn,SIB200ClusteringS2S,zsm_Latn,train,text,500,14276
clustering,clustering,zsm_Latn,SIB200ClusteringS2S,zsm_Latn,validation,text,72,1933
overall,classification,arb_Arab,MassiveIntentClassification,ar,test,text,665,5759
overall,classification,arb_Arab,MassiveIntentClassification,ar,validation,text,499,4332
overall,classification,deu_Latn,MassiveIntentClassification,de,test,text,414,3831
overall,classification,deu_Latn,MassiveIntentClassification,de,validation,text,386,3741
overall,classification,eng_Latn,MassiveIntentClassification,en,test,text,514,4170
overall,classification,eng_Latn,MassiveIntentClassification,en,validation,text,360,2901
overall,classification,fra_Latn,MassiveIntentClassification,fr,test,text,289,3141
overall,classification,fra_Latn,MassiveIntentClassification,fr,validation,text,377,3840
overall,classification,guj_Gujr,GujaratiNewsClassification,default,test,text,434,9543
overall,classification,hin_Deva,MassiveIntentClassification,hi,test,text,379,3682
overall,classification,hin_Deva,MassiveIntentClassification,hi,validation,text,387,3705
overall,classification,hun_Latn,MassiveIntentClassification,hu,test,text,515,5100
overall,classification,hun_Latn,MassiveIntentClassification,hu,validation,text,510,5220
overall,classification,ind_Latn,MassiveIntentClassification,id,test,text,701,5426
overall,classification,ind_Latn,MassiveIntentClassification,id,validation,text,496,3907
overall,classification,ita_Latn,MassiveIntentClassification,it,test,text,427,3823
overall,classification,ita_Latn,MassiveIntentClassification,it,validation,text,357,3194
overall,classification,jpn_Jpan,MassiveIntentClassification,ja,test,text,425,3822
overall,classification,jpn_Jpan,MassiveIntentClassification,ja,validation,text,347,3198
overall,classification,kor_Hang,MassiveIntentClassification,ko,test,text,641,5493
overall,classification,kor_Hang,MassiveIntentClassification,ko,validation,text,492,4272
overall,classification,nld_Latn,MassiveIntentClassification,nl,test,text,411,3799
overall,classification,nld_Latn,MassiveIntentClassification,nl,validation,text,384,3569
overall,classification,pol_Latn,MassiveIntentClassification,pl,test,text,568,5093
overall,classification,pol_Latn,MassiveIntentClassification,pl,validation,text,474,4422
overall,classification,por_Latn,MassiveIntentClassification,pt,test,text,434,3973
overall,classification,por_Latn,MassiveIntentClassification,pt,validation,text,329,2856
overall,classification,ron_Latn,MassiveIntentClassification,ro,test,text,431,3730
overall,classification,ron_Latn,MassiveIntentClassification,ro,validation,text,370,3327
overall,classification,rus_Cyrl,MassiveIntentClassification,ru,test,text,532,4552
overall,classification,rus_Cyrl,MassiveIntentClassification,ru,validation,text,380,3342
overall,classification,spa_Latn,MassiveIntentClassification,es,test,text,595,5227
overall,classification,spa_Latn,MassiveIntentClassification,es,validation,text,471,4175
overall,classification,swe_Latn,MassiveIntentClassification,sv,test,text,520,4336
overall,classification,swe_Latn,MassiveIntentClassification,sv,validation,text,400,3315
overall,classification,tgl_Latn,MassiveIntentClassification,tl,test,text,382,4061
overall,classification,tgl_Latn,MassiveIntentClassification,tl,validation,text,502,5530
overall,classification,tha_Thai,MassiveIntentClassification,th,test,text,576,5366
overall,classification,tha_Thai,MassiveIntentClassification,th,validation,text,473,4289
overall,classification,tur_Latn,MassiveIntentClassification,tr,test,text,676,5668
overall,classification,tur_Latn,MassiveIntentClassification,tr,validation,text,467,3727
overall,classification,vie_Latn,MassiveIntentClassification,vi,test,text,463,4673
overall,classification,vie_Latn,MassiveIntentClassification,vi,validation,text,506,5213
overall,classification,zho_Hans,MassiveIntentClassification,zh-CN,test,text,525,4082
overall,classification,zho_Hans,MassiveIntentClassification,zh-CN,validation,text,373,2852
overall,classification,zsm_Latn,MassiveIntentClassification,ms,test,text,725,5852
overall,classification,zsm_Latn,MassiveIntentClassification,ms,validation,text,497,3972
overall,clustering,arb_Arab,SIB200ClusteringS2S,arb_Arab,test,text,52,1678
overall,clustering,arb_Arab,SIB200ClusteringS2S,arb_Arab,train,text,198,7009
overall,clustering,arb_Arab,SIB200ClusteringS2S,arb_Arab,validation,text,25,845
overall,clustering,deu_Latn,SIB200ClusteringS2S,deu_Latn,test,text,45,1572
overall,clustering,deu_Latn,SIB200ClusteringS2S,deu_Latn,train,text,137,5098
overall,clustering,deu_Latn,SIB200ClusteringS2S,deu_Latn,validation,text,26,764
overall,clustering,eng_Latn,SIB200ClusteringS2S,eng_Latn,test,text,59,1720
overall,clustering,eng_Latn,SIB200ClusteringS2S,eng_Latn,train,text,163,4839
overall,clustering,eng_Latn,SIB200ClusteringS2S,eng_Latn,validation,text,23,637
overall,clustering,fra_Latn,SIB200ClusteringS2S,fra_Latn,test,text,34,1328
overall,clustering,fra_Latn,SIB200ClusteringS2S,fra_Latn,train,text,141,5683
overall,clustering,fra_Latn,SIB200ClusteringS2S,fra_Latn,validation,text,24,874
overall,clustering,guj_Gujr,SIB200ClusteringS2S,guj_Gujr,test,text,27,1103
overall,clustering,guj_Gujr,SIB200ClusteringS2S,guj_Gujr,train,text,170,7021
overall,clustering,guj_Gujr,SIB200ClusteringS2S,guj_Gujr,validation,text,17,735
overall,clustering,hin_Deva,SIB200ClusteringS2S,hin_Deva,test,text,24,842
overall,clustering,hin_Deva,SIB200ClusteringS2S,hin_Deva,train,text,153,5838
overall,clustering,hin_Deva,SIB200ClusteringS2S,hin_Deva,validation,text,23,874
overall,clustering,hun_Latn,SIB200ClusteringS2S,hun_Latn,test,text,50,1728
overall,clustering,hun_Latn,SIB200ClusteringS2S,hun_Latn,train,text,200,7186
overall,clustering,hun_Latn,SIB200ClusteringS2S,hun_Latn,validation,text,26,883
overall,clustering,ind_Latn,SIB200ClusteringS2S,ind_Latn,test,text,75,2163
overall,clustering,ind_Latn,SIB200ClusteringS2S,ind_Latn,train,text,255,7184
overall,clustering,ind_Latn,SIB200ClusteringS2S,ind_Latn,validation,text,31,803
overall,clustering,ita_Latn,SIB200ClusteringS2S,ita_Latn,test,text,41,1529
overall,clustering,ita_Latn,SIB200ClusteringS2S,ita_Latn,train,text,145,5276
overall,clustering,ita_Latn,SIB200ClusteringS2S,ita_Latn,validation,text,16,521
overall,clustering,jpn_Jpan,SIB200ClusteringS2S,jpn_Jpan,test,text,47,1670
overall,clustering,jpn_Jpan,SIB200ClusteringS2S,jpn_Jpan,train,text,151,4934
overall,clustering,jpn_Jpan,SIB200ClusteringS2S,jpn_Jpan,validation,text,20,569
overall,clustering,kor_Hang,SIB200ClusteringS2S,kor_Hang,test,text,56,1854
overall,clustering,kor_Hang,SIB200ClusteringS2S,kor_Hang,train,text,188,6514
overall,clustering,kor_Hang,SIB200ClusteringS2S,kor_Hang,validation,text,31,991
overall,clustering,nld_Latn,SIB200ClusteringS2S,nld_Latn,test,text,45,1608
overall,clustering,nld_Latn,SIB200ClusteringS2S,nld_Latn,train,text,147,4890
overall,clustering,nld_Latn,SIB200ClusteringS2S,nld_Latn,validation,text,16,508
overall,clustering,pol_Latn,SIB200ClusteringS2S,pol_Latn,test,text,53,1948
overall,clustering,pol_Latn,SIB200ClusteringS2S,pol_Latn,train,text,178,6261
overall,clustering,pol_Latn,SIB200ClusteringS2S,pol_Latn,validation,text,24,818
overall,clustering,por_Latn,SIB200ClusteringS2S,por_Latn,test,text,42,1523
overall,clustering,por_Latn,SIB200ClusteringS2S,por_Latn,train,text,154,5115
overall,clustering,por_Latn,SIB200ClusteringS2S,por_Latn,validation,text,23,777
overall,clustering,ron_Latn,SIB200ClusteringS2S,ron_Latn,test,text,46,1715
overall,clustering,ron_Latn,SIB200ClusteringS2S,ron_Latn,train,text,144,5498
overall,clustering,ron_Latn,SIB200ClusteringS2S,ron_Latn,validation,text,14,470
overall,clustering,rus_Cyrl,SIB200ClusteringS2S,rus_Cyrl,test,text,34,1268
overall,clustering,rus_Cyrl,SIB200ClusteringS2S,rus_Cyrl,train,text,150,5370
overall,clustering,rus_Cyrl,SIB200ClusteringS2S,rus_Cyrl,validation,text,23,813
overall,clustering,spa_Latn,SIB200ClusteringS2S,spa_Latn,test,text,51,1828
overall,clustering,spa_Latn,SIB200ClusteringS2S,spa_Latn,train,text,188,6728
overall,clustering,spa_Latn,SIB200ClusteringS2S,spa_Latn,validation,text,16,522
overall,clustering,swe_Latn,SIB200ClusteringS2S,swe_Latn,test,text,44,1400
overall,clustering,swe_Latn,SIB200ClusteringS2S,swe_Latn,train,text,155,4884
overall,clustering,swe_Latn,SIB200ClusteringS2S,swe_Latn,validation,text,22,618
overall,clustering,tgl_Latn,SIB200ClusteringS2S,tgl_Latn,test,text,33,1584
overall,clustering,tgl_Latn,SIB200ClusteringS2S,tgl_Latn,train,text,165,7233
overall,clustering,tgl_Latn,SIB200ClusteringS2S,tgl_Latn,validation,text,22,903
overall,clustering,tha_Thai,SIB200ClusteringS2S,tha_Thai,test,text,53,1786
overall,clustering,tha_Thai,SIB200ClusteringS2S,tha_Thai,train,text,217,7200
overall,clustering,tha_Thai,SIB200ClusteringS2S,tha_Thai,validation,text,30,842
overall,clustering,tur_Latn,SIB200ClusteringS2S,tur_Latn,test,text,65,2084
overall,clustering,tur_Latn,SIB200ClusteringS2S,tur_Latn,train,text,205,6517
overall,clustering,tur_Latn,SIB200ClusteringS2S,tur_Latn,validation,text,37,1146
overall,clustering,vie_Latn,SIB200ClusteringS2S,vie_Latn,test,text,63,2088
overall,clustering,vie_Latn,SIB200ClusteringS2S,vie_Latn,train,text,217,7782
overall,clustering,vie_Latn,SIB200ClusteringS2S,vie_Latn,validation,text,26,880
overall,clustering,zho_Hans,SIB200ClusteringS2S,zho_Hans,test,text,57,1684
overall,clustering,zho_Hans,SIB200ClusteringS2S,zho_Hans,train,text,161,4822
overall,clustering,zho_Hans,SIB200ClusteringS2S,zho_Hans,validation,text,26,745
overall,clustering,zsm_Latn,SIB200ClusteringS2S,zsm_Latn,test,text,64,1770
overall,clustering,zsm_Latn,SIB200ClusteringS2S,zsm_Latn,train,text,244,6993
overall,clustering,zsm_Latn,SIB200ClusteringS2S,zsm_Latn,validation,text,27,697
overall,reranking,deu_Latn,WikipediaRerankingMultilingual,de,test,corpus:text,20,1883
overall,reranking,deu_Latn,WikipediaRerankingMultilingual,de,test,queries:text,281,4805
overall,reranking,eng_Latn,WebLINXCandidatesReranking,default,test_iid,queries:text,5,3287
overall,reranking,eng_Latn,WikipediaRerankingMultilingual,en,test,corpus:text,8,907
overall,reranking,eng_Latn,WikipediaRerankingMultilingual,en,test,queries:text,129,2128
overall,reranking,fra_Latn,AlloprofReranking,default,test,queries:text,150,7116
overall,reranking,hin_Deva,WikipediaRerankingMultilingual,hi,test,corpus:text,27,3986
overall,reranking,hin_Deva,WikipediaRerankingMultilingual,hi,test,queries:text,254,3952
overall,reranking,ita_Latn,WikipediaRerankingMultilingual,it,test,corpus:text,20,2211
overall,reranking,ita_Latn,WikipediaRerankingMultilingual,it,test,queries:text,271,4637
overall,reranking,jpn_Jpan,VoyageMMarcoReranking,default,test,corpus:text,34,3355
overall,reranking,jpn_Jpan,VoyageMMarcoReranking,default,test,queries:text,379,3774
overall,reranking,nld_Latn,WikipediaRerankingMultilingual,nl,test,corpus:text,37,2902
overall,reranking,nld_Latn,WikipediaRerankingMultilingual,nl,test,queries:text,259,4225
overall,reranking,por_Latn,WikipediaRerankingMultilingual,pt,test,corpus:text,21,2523
overall,reranking,por_Latn,WikipediaRerankingMultilingual,pt,test,queries:text,262,4411
overall,reranking,ron_Latn,WikipediaRerankingMultilingual,ro,test,corpus:text,32,2819
overall,reranking,ron_Latn,WikipediaRerankingMultilingual,ro,test,queries:text,310,5041
overall,reranking,rus_Cyrl,RuBQReranking,default,test,corpus:text,13,1797
overall,reranking,rus_Cyrl,RuBQReranking,default,test,queries:text,295,3459
overall,reranking,swe_Latn,WikipediaRerankingMultilingual,sv,test,corpus:text,38,3506
overall,reranking,swe_Latn,WikipediaRerankingMultilingual,sv,test,queries:text,287,4209
overall,reranking,zho_Hans,T2Reranking,default,dev,queries:text,802,6882
overall,retrieval,arb_Arab,BelebeleRetrieval,arb_Arab,test,corpus,56,7574
overall,retrieval,arb_Arab,BelebeleRetrieval,arb_Arab,test,query,121,2246
overall,retrieval,deu_Latn,BelebeleRetrieval,deu_Latn,test,corpus,46,5699
overall,retrieval,deu_Latn,BelebeleRetrieval,deu_Latn,test,query,91,1523
overall,retrieval,eng_Latn,BelebeleRetrieval,eng_Latn,test,corpus,42,5183
overall,retrieval,eng_Latn,BelebeleRetrieval,eng_Latn,test,query,116,1981
overall,retrieval,fra_Latn,BelebeleRetrieval,fra_Latn,test,corpus,39,5266
overall,retrieval,fra_Latn,BelebeleRetrieval,fra_Latn,test,query,53,1353
overall,retrieval,guj_Gujr,BelebeleRetrieval,guj_Gujr,test,corpus,55,8552
overall,retrieval,guj_Gujr,BelebeleRetrieval,guj_Gujr,test,query,87,1895
overall,retrieval,hin_Deva,BelebeleRetrieval,hin_Deva,test,corpus,39,5149
overall,retrieval,hin_Deva,BelebeleRetrieval,hin_Deva,test,query,64,1194
overall,retrieval,hun_Latn,BelebeleRetrieval,hun_Latn,test,corpus,61,7868
overall,retrieval,hun_Latn,BelebeleRetrieval,hun_Latn,test,query,107,2015
overall,retrieval,ind_Latn,BelebeleRetrieval,ind_Latn,test,corpus,73,7214
overall,retrieval,ind_Latn,BelebeleRetrieval,ind_Latn,test,query,127,1925
overall,retrieval,ita_Latn,BelebeleRetrieval,ita_Latn,test,corpus,40,5449
overall,retrieval,ita_Latn,BelebeleRetrieval,ita_Latn,test,query,90,1760
overall,retrieval,jpn_Jpan,BelebeleRetrieval,jpn_Jpan,test,corpus,50,5866
overall,retrieval,jpn_Jpan,BelebeleRetrieval,jpn_Jpan,test,query,91,1664
overall,retrieval,kor_Hang,BelebeleRetrieval,kor_Hang,test,corpus,58,7403
overall,retrieval,kor_Hang,BelebeleRetrieval,kor_Hang,test,query,110,1938
overall,retrieval,nld_Latn,BelebeleRetrieval,nld_Latn,test,corpus,47,6057
overall,retrieval,nld_Latn,BelebeleRetrieval,nld_Latn,test,query,80,1399
overall,retrieval,pol_Latn,BelebeleRetrieval,pol_Latn,test,corpus,55,7335
overall,retrieval,pol_Latn,BelebeleRetrieval,pol_Latn,test,query,107,2079
overall,retrieval,por_Latn,BelebeleRetrieval,por_Latn,test,corpus,58,7298
overall,retrieval,por_Latn,BelebeleRetrieval,por_Latn,test,query,84,1524
overall,retrieval,ron_Latn,BelebeleRetrieval,ron_Latn,test,corpus,43,5753
overall,retrieval,ron_Latn,BelebeleRetrieval,ron_Latn,test,query,90,1647
overall,retrieval,rus_Cyrl,BelebeleRetrieval,rus_Cyrl,test,corpus,52,6893
overall,retrieval,rus_Cyrl,BelebeleRetrieval,rus_Cyrl,test,query,78,1648
overall,retrieval,spa_Latn,BelebeleRetrieval,spa_Latn,test,corpus,60,7556
overall,retrieval,spa_Latn,BelebeleRetrieval,spa_Latn,test,query,100,1935
overall,retrieval,swe_Latn,BelebeleRetrieval,swe_Latn,test,corpus,50,6341
overall,retrieval,swe_Latn,BelebeleRetrieval,swe_Latn,test,query,89,1391
overall,retrieval,tgl_Latn,BelebeleRetrieval,tgl_Latn,test,corpus,51,8406
overall,retrieval,tgl_Latn,BelebeleRetrieval,tgl_Latn,test,query,104,2283
overall,retrieval,tha_Thai,BelebeleRetrieval,tha_Thai,test,corpus,69,8521
overall,retrieval,tha_Thai,BelebeleRetrieval,tha_Thai,test,query,137,1996
overall,retrieval,tur_Latn,BelebeleRetrieval,tur_Latn,test,corpus,59,6832
overall,retrieval,tur_Latn,BelebeleRetrieval,tur_Latn,test,query,134,2061
overall,retrieval,vie_Latn,BelebeleRetrieval,vie_Latn,test,corpus,51,7446
overall,retrieval,vie_Latn,BelebeleRetrieval,vie_Latn,test,query,96,1918
overall,retrieval,zho_Hans,BelebeleRetrieval,zho_Hans,test,corpus,56,5662
overall,retrieval,zho_Hans,BelebeleRetrieval,zho_Hans,test,query,101,1378
overall,retrieval,zsm_Latn,BelebeleRetrieval,zsm_Latn,test,corpus,84,8895
overall,retrieval,zsm_Latn,BelebeleRetrieval,zsm_Latn,test,query,129,1821
overall,sts,arb_Arab,STS22.v2,ar,test,sentence1,4,479
overall,sts,arb_Arab,STS22.v2,ar,test,sentence2,1,78
overall,sts,deu_Latn,STS22.v2,de,test,sentence1,2,623
overall,sts,deu_Latn,STS22.v2,de,test,sentence2,1,461
overall,sts,eng_Latn,IndicCrosslingualSTS,en-gu,test,sentence1,13,188
overall,sts,eng_Latn,STS17,nl-en,test,sentence2,18,169
overall,sts,eng_Latn,STS22.v2,en,test,sentence1,2,1890
overall,sts,fra_Latn,STS22.v2,fr,test,sentence1,1,487
overall,sts,fra_Latn,STS22.v2,fr,test,sentence2,2,912
overall,sts,guj_Gujr,IndicCrosslingualSTS,en-gu,test,sentence2,67,1149
overall,sts,hin_Deva,SemRel24STS,hin,test,sentence1,18,416
overall,sts,hin_Deva,SemRel24STS,hin,test,sentence2,17,362
overall,sts,ind_Latn,SemRel24STS,ind,test,sentence1,27,530
overall,sts,ind_Latn,SemRel24STS,ind,test,sentence2,43,848
overall,sts,ita_Latn,STS22.v2,it,test,sentence1,1,467
overall,sts,ita_Latn,STS22.v2,it,test,sentence2,3,1133
overall,sts,jpn_Jpan,JSICK,default,test,sentence1,45,599
overall,sts,jpn_Jpan,JSICK,default,test,sentence2,38,549
overall,sts,kor_Hang,STS17,ko-ko,test,sentence1,45,743
overall,sts,kor_Hang,STS17,ko-ko,test,sentence2,41,792
overall,sts,nld_Latn,STS17,nl-en,test,sentence1,89,1043
overall,sts,pol_Latn,STS22.v2,pl,test,sentence1,3,2044
overall,sts,rus_Cyrl,STS22.v2,ru,test,sentence1,1,308
overall,sts,rus_Cyrl,STS22.v2,ru,test,sentence2,2,550
overall,sts,spa_Latn,STS22.v2,es,test,sentence1,1,641
overall,sts,spa_Latn,STS22.v2,es,test,sentence2,5,1388
overall,sts,tur_Latn,STS22.v2,tr,test,sentence1,4,1965
overall,sts,zho_Hans,STS22.v2,zh,test,sentence1,2,1546
overall,sts,zho_Hans,STS22.v2,zh,test,sentence2,2,347
